name,latitude,longitude,address,star_rating,detail_url
"Coral Beach Hotel in Roda, Corfu",39.789768424566155,19.793641716241837,"Corfu, Roda",3,https://www.greeka.com/ionian/corfu/hotels/location-roda/coral/
"Evgenios Studios in Kavos, Corfu",39.39172527340063,20.107461512088776,"Corfu, Kavos",,https://www.greeka.com/ionian/corfu/hotels/location-kavos/evgenios/
"Folies Hotel in Town, Corfu",39.615969,19.898702,"Corfu, Town",3,https://www.greeka.com/ionian/corfu/hotels/location-town/folies/
"Fouxia Apartments in Perama, Corfu",39.57415511624823,19.91166230437293,"Corfu, Perama",,https://www.greeka.com/ionian/corfu/hotels/location-perama/fouxia/
"Fundana Suites in Paleokastritsa, Corfu",39.65789,19.76211,"Corfu, Paleokastritsa",,https://www.greeka.com/ionian/corfu/hotels/location-paleokastritsa/fundana-villas/
"Golden Sunset Hotel in Boukari, Corfu",39.459587824909335,19.979398101568222,"Corfu, Boukari",2,https://www.greeka.com/ionian/corfu/hotels/location-boukari/golden-sunset/
"Island Beach Hotel in Kavos, Corfu",39.38613242223974,20.11351928114891,"Corfu, Kavos",3,https://www.greeka.com/ionian/corfu/hotels/location-kavos/island-beach-resort/
"Helion Apartments in Gouvia, Corfu",39.657463,19.84133,"Corfu, Gouvia",,https://www.greeka.com/ionian/corfu/hotels/location-gouvia/helion/
"Aegli Hotel in Perama, Corfu",39.58599569255351,19.914103746414185,"Corfu, Perama",2,https://www.greeka.com/ionian/corfu/hotels/location-perama/aegli/
"Hellinis Hotel in Kanoni Kassiopi, Corfu",39.593910975518305,19.916602224111557,"Corfu, Kanoni Kassiopi",3,https://www.greeka.com/ionian/corfu/hotels/location-kanoni-kassiopi/hellinis/
"Iliada Beach Hotel in Gouvia, Corfu",39.65432659573907,19.842231273651123,"Corfu, Gouvia",3,https://www.greeka.com/ionian/corfu/hotels/location-gouvia/iliada-beach/
"Aurora Hotel in Agios Ioannis Peristeron, Corfu",39.515983,19.92384,"Corfu, Agios Ioannis Peristeron",2,https://www.greeka.com/ionian/corfu/hotels/location-agios-ioannis-peristeron/aurora/
"Villa Infinity Villas in Agios Gordios, Corfu",39.52587,19.868523,"Corfu, Agios Gordios",,https://www.greeka.com/ionian/corfu/hotels/location-agios-gordios/infinity-villa/
"Ipsia Rooms in Paleokastritsa, Corfu",39.675817,19.704055,"Corfu, Paleokastritsa",,https://www.greeka.com/ionian/corfu/hotels/location-paleokastritsa/ipsia/
"Christakis Hotel in Sidari, Corfu",39.791631,19.699784,"Corfu, Sidari",2,https://www.greeka.com/ionian/corfu/hotels/location-sidari/christakis/
"Irene Apartments in Agios Gordios, Corfu",39.56039205499584,19.840739965438843,"Corfu, Agios Gordios",,https://www.greeka.com/ionian/corfu/hotels/location-agios-gordios/irene/
"Helios Splendid Apartments in Boukari, Corfu",39.458996,19.970311,"Corfu, Boukari",,https://www.greeka.com/ionian/corfu/hotels/location-boukari/helios-splendid/
"Kaiser Bridge Hotel in Benitses, Corfu",39.562823,19.909629,"Corfu, Benitses",3,https://www.greeka.com/ionian/corfu/hotels/location-benitses/kaiser-bridge/
"Amalia Complex Apartments in Nissaki, Corfu",39.7271417052227,19.899088740348816,"Corfu, Nissaki",,https://www.greeka.com/ionian/corfu/hotels/location-nissaki/amalia-complex/
"Katia Hotel in Kasiopi, Corfu",39.781661626418334,19.928312527099095,"Corfu, Kasiopi",2,https://www.greeka.com/ionian/corfu/hotels/location-kasiopi/katia/
"Lena Mare Hotel in Acharavi, Corfu",39.79300878265701,19.820356881771644,"Corfu, Acharavi",4,https://www.greeka.com/ionian/corfu/hotels/location-acharavi/lena-mare/
"Livadi Nafsika Hotel in Dassia, Corfu",39.6778428537474,19.8382468521595,"Corfu, Dassia",3,https://www.greeka.com/ionian/corfu/hotels/location-dassia/livadi-nafsika/
"Aronis Apartments in Benitses, Corfu",39.534182,19.915062,"Corfu, Benitses",,https://www.greeka.com/ionian/corfu/hotels/location-benitses/aronis/
"Egrypos Rooms in Petriti, Corfu",39.45303790034459,20.001272186636925,"Corfu, Petriti",,https://www.greeka.com/ionian/corfu/hotels/location-petriti/egrypos/
"Maria Apartments in Sidari, Corfu",39.79039352410162,19.6975314617157,"Corfu, Sidari",,https://www.greeka.com/ionian/corfu/hotels/location-sidari/maria-apartments/
"Louvre Hotel in Gouvia, Corfu",39.652514171912564,19.843209425841007,"Corfu, Gouvia",3,https://www.greeka.com/ionian/corfu/hotels/location-gouvia/louvre/
"Makis Apartments in Moraitika, Corfu",39.47788415375905,19.925200653593038,"Corfu, Moraitika",,https://www.greeka.com/ionian/corfu/hotels/location-moraitika/makis/
"Lofos Apartments in Agios Stefanos, Corfu",39.758928,19.647844,"Corfu, Agios Stefanos",,https://www.greeka.com/ionian/corfu/hotels/location-agios-stefanos/lofos/
"Marias Beach Apartments in Sidari, Corfu",39.79497700165496,19.701635241508484,"Corfu, Sidari",,https://www.greeka.com/ionian/corfu/hotels/location-sidari/marias-beach/
"Seafront Apartments in Kavos, Corfu",39.39164,20.107265,"Corfu, Kavos",,https://www.greeka.com/ionian/corfu/hotels/location-kavos/seafront/
"Marina Apartments in Agios Gordios, Corfu",39.547057,19.855309,"Corfu, Agios Gordios",,https://www.greeka.com/ionian/corfu/hotels/location-agios-gordios/marina/
"Royal Hotel in Kanoni Kassiopi, Corfu",39.59247252988253,19.917032048106194,"Corfu, Kanoni Kassiopi",2,https://www.greeka.com/ionian/corfu/hotels/location-kanoni-kassiopi/royal/
"Maltezos Hotel in Gouvia, Corfu",39.653423,19.843174,"Corfu, Gouvia",3,https://www.greeka.com/ionian/corfu/hotels/location-gouvia/maltezos/
"Ninos on The Beach Studios in Roda, Corfu",39.790121,19.796247,"Corfu, Roda",,https://www.greeka.com/ionian/corfu/hotels/location-roda/ninos-on-the-beach/
"Mediterranean Blue Hotel in Kavos, Corfu",39.37664681962919,20.11788558214903,"Corfu, Kavos",3,https://www.greeka.com/ionian/corfu/hotels/location-kavos/mediterranean-blue/
"Mimosa Hotel in Sidari, Corfu",39.79220613637739,19.70579333603382,"Corfu, Sidari",2,https://www.greeka.com/ionian/corfu/hotels/location-sidari/mimosa/
"Napoleon On The Beach Apartments in Paleokastritsa, Corfu",39.67344368099752,19.706624150276184,"Corfu, Paleokastritsa",,https://www.greeka.com/ionian/corfu/hotels/location-paleokastritsa/molos-beach/
"Nissaki Sea View Apartments in Nissaki, Corfu",39.72464480335559,19.895528443157673,"Corfu, Nissaki",,https://www.greeka.com/ionian/corfu/hotels/location-nissaki/nissaki-sea-view/
"Liberty's Studios in Acharavi, Corfu",39.807349,19.83453,"Corfu, Acharavi",,https://www.greeka.com/ionian/corfu/hotels/location-acharavi/liberty/
"Oasis Hotel in Perama, Corfu",39.58017616126724,19.913787245750427,"Corfu, Perama",3,https://www.greeka.com/ionian/corfu/hotels/location-perama/oasis/
"Panorama Hideaway Apartments in Dassia, Corfu",39.68251184915915,19.83452796936035,"Corfu, Dassia",,https://www.greeka.com/ionian/corfu/hotels/location-dassia/panorama-hideaway/
